"patent_id"	"latin_name"	"plant_variety"
"PP22403"	"Prunus salicina"	"Suplumfortytwo"
"PP27029"	"Pyrus communis L."	"PE1UNIBO"
"PP32202"	"Dianthus sp."	"KLEDG19411"
"PP16651"	"Vinca minor"	"Giant Steps"
"PP33247"	"Prunus salicina"	"Suplumfiftyeight"
"PP30656"	"x Heucherella"	"HEUPIRE030"
"PP23549"	"Rosa hybrida"	"Sprothrive"
"PP32190"	"Prunus cerasifera"	"NCPR-7"
"PP34699"	"Campsis tagliabuana"	"HOCH128"
"PP17601"	"Chrysanthemum×morifolium"	"Yosherry"
"PP20945"	"Petunia×hybrida"	"Oscopet2"
"PP28222"	"Euphorbia pulcherrima Willd."	"PER1360"
"PP28679"	"Phlox hybrid"	"Fashionably Early Crystal"
"PP27890"	"Zantedeschia sprengeri"	"Gran Paradiso"
"PP22580"	"Euphorbia pulcherrima"	"NPCW10158"
"PP16285"	"Calibrachoa sp."	"Sunbel-labu"
"PP28936"	"Cornus kousa"	"JN6"
"PP22769"	"Eucomis spp."	"Freckles"
"PP34204"	"Lavandula angustifolia"	"150GY007"
"PP32586"	"Hebe speciosa"	"HEBANN03"
"PP33218"	"Phlox paniculata"	"Dophlflaprosopi"
"PP22606"	"Prunus perscia"	"Zee Pride"
"PP29002"	"Mandevilla hybrida"	"Sunpa 1463"
"PP28787"	"Schlumbergera truncata (Haworth) Moran hybr."	"PKMSchl06"
"PP16581"	"Chrysanthemum×morifolium"	"Bold Yovanessa"
"PP28071"	"Calibrachoa Llave & Lex."	"CBRZ0007"
"PP33357"	"Vitis vinifera"	"Itumseventeen"
"PP21244"	"Zantedeschia sprengeri"	"CAPTAIN AGUILA"
"PP29682"	"Rhaphiolepis indica"	"PC2"
"PP17156"	"Cosmos astrosanguineus×C. sulphureus"	"Cacao Choco Sanse 35"
"PP16069"	"Clematis viticella"	"Evipo019"
"PP19196"	"Petunia×hybrida"	"Duesweezyel"
"PP31426"	"Rosa hybrida"	"AUStulliver"
"PP31973"	"Chrysanthemum x morifolium"	"CIFZ0073"
"PP17727"	"Rubus occidentalis"	"Explorer"
"PP30852"	"Vitex agnus-castus"	"Bailtextwo"
"PP17298"	"Echinacea purpurea"	"Sparkler"
"PP25436"	"Fragaria×ananassa Duch."	"Merced"
"PP19244"	"Calibrachoa sp."	"Cal Litbule"
"PP16000"	"Chrysanthemum×morifolium"	"Deliroma"
"PP28631"	"Catharanthus roseus"	"Suncatfe 185"
"PP17278"	"Pelargonium×hortorum×Pelargonium peltatum"	"Balgalbrise"
"PP19488"	"Calibrachoa sp."	"KLECA06120"
"PP33721"	"Rubus L. subgenus Rubus"	"PBB 1616T"
"PP26994"	"Spiraea japonica"	"SMSJDG603"
"PP31615"	"Humulus lupulus"	"HBC 586"
"PP32180"	"Rosa hybrida"	"Sproflored"
"PP16569"	"Nemesia hybrid"	"Nemhswhi"
